Country,id,Type,Drinks
Portugal,620,Beer,26.1
Guinea-Bissau,624,Beer,13.7
Timor,626,Beer,67.6
Puerto Rico,630,Beer,
Qatar,634,Beer,25.9
Romania,642,Beer,55.6
Russia,643,Beer,39
Rwanda,646,Beer,14.8
Saudi Arabia,682,Beer,
Senegal,686,Beer,56.4
Serbia,688,Beer,32
Sierra Leone,694,Beer,4
Slovakia,703,Beer,33.7
Vietnam,704,Beer,91.5
Slovenia,705,Beer,41.4
Somalia,706,Beer,
South Africa,710,Beer,56
Zimbabwe,716,Beer,62.8
Spain,724,Beer,54.2
South Sudan,728,Beer,
Sudan,729,Beer,
Western Sahara,732,Beer,
Suriname,740,Beer,44.9
Swaziland,748,Beer,
Sweden,752,Beer,36.4
Switzerland,756,Beer,32.1
Syria,760,Beer,11.6
Tajikistan,762,Beer,37.9
Thailand,764,Beer,28.3
Togo,768,Beer,37
Trinidad and Tobago,780,Beer,57.9
United Arab Emirates,784,Beer,10.1
Tunisia,788,Beer,72.2
Turkey,792,Beer,57.6
Turkmenistan,795,Beer,26.8
Uganda,800,Beer,11
Ukraine,804,Beer,42.3
North Macedonia,807,Beer,35.3
Egypt,818,Beer,62
United Kingdom,826,Beer,35
Tanzania,834,Beer,12.2
United States,840,Beer,47
Burkina Faso,854,Beer,18
Uruguay,858,Beer,35.2
Uzbekistan,860,Beer,34.4
Venezuela,862,Beer,69.2
Yemen,887,Beer,89.5
Zambia,894,Beer,36.4
Afghanistan,4,Wine,
Albania,8,Wine,26.5
Antarctica,10,Wine,
Algeria,12,Wine,24.4
Angola,24,Wine,17.6
Azerbaijan,31,Wine,36.9
Argentina,32,Wine,40.2
Australia,36,Wine,37.5
Austria,40,Wine,31.6
Bahamas,44,Wine,16.6
Bangladesh,50,Wine,
Armenia,51,Wine,7
Belgium,56,Wine,38.3
Bhutan,64,Wine,4.2
Bolivia,68,Wine,4.3
Bosnia and Herzegovina,70,Wine,8.6
Botswana,72,Wine,23.5
Brazil,76,Wine,3.4
Belize,84,Wine,1.9
Solomon Islands,90,Wine,2.9
Brunei,96,Wine,0
Bulgaria,100,Wine,17.2
Myanmar,104,Wine,9.8
Burundi,108,Wine,0.1
Belarus,112,Wine,2.2
Cambodia,116,Wine,0.6
Cameroon,120,Wine,1.4
Canada,124,Wine,25.6
Central African Republic,140,Wine,0.7
Sri Lanka,144,Wine,0.3
Chad,148,Wine,1
Chile,152,Wine,33.1
China,156,Wine,3.1
"Taiwan, Province of China",158,Wine,
Colombia,170,Wine,1.1
Congo,178,Wine,4.7
Democratic Republic of Congo,180,Wine,0.6
Costa Rica,188,Wine,7.2
Croatia,191,Wine,39
Cuba,192,Wine,4.9
Cyprus,196,Wine,28.4
Czechia,203,Wine,21.3
Benin,204,Wine,9.6
Denmark,208,Wine,44.7
Dominican Republic,214,Wine,4.4
Ecuador,218,Wine,1.5
El Salvador,222,Wine,1.3
Equatorial Guinea,226,Wine,17
Ethiopia,231,Wine,0.3
Eritrea,232,Wine,0.1
Estonia,233,Wine,7.4
Falkland Islands (Malvinas),238,Wine,
Fiji,242,Wine,1.2
Finland,246,Wine,20.6
France,250,Wine,58.8
French Southern Territories,260,Wine,
Djibouti,262,Wine,16.7
Gabon,266,Wine,9.2
Georgia,268,Wine,43
Gambia,270,Wine,2.1
Germany,276,Wine,28.4
Ghana,288,Wine,6.6
Greece,300,Wine,45.5
Greenland,304,Wine,
Guatemala,320,Wine,2.1
Guinea,324,Wine,8.9
Guyana,328,Wine,0.2
Haiti,332,Wine,0.3
Honduras,340,Wine,1.2
Hungary,348,Wine,32.2
Iceland,352,Wine,27.9
India,356,Wine,0.1
Indonesia,360,Wine,76.4
Iran,364,Wine,
Iraq,368,Wine,2.4
Ireland,372,Wine,28
Israel,376,Wine,4.7
Italy,380,Wine,64.8
Cote d'Ivoire,384,Wine,5
Jamaica,388,Wine,4.8
Japan,392,Wine,5.5
