country,COVID cases/100k,deaths_per_100k,capital city latitude,GDP real growth rate,unemployment rate,gini index,inflation rate,median age,total fertility rate,life expectancy,HDI index,GDP per capita,happiness score,corruption index(cpi),abstainer(lifetime),abstain_lt_m,abstain_lt_f,abstainer(12 month),abstain_12m_m,abstain_12m_f,consumer(12 month),consumer gender ratio(male/female),consumers_12m_m,consumers_12m_f,heavy episodic drinking(30 days),heavy_12m_m,heavy_12m_f,alcohol attributable death,alc_death_m,alc_death_f,years of life lost by alcohol,alcohol consumption,alc_csm_m,alc_csm_f,alcohol consumption(drinkers only),alc_csm_dr_m,alc_csm_dr_f,gender gap index,ggi_polit,ggi_econ,ggi_edu,ggi_health,work hours (unpaid+paid+study),upw_f,upw_m,pc_f,pc_m,leis_f,leis_m,oth_time_f,oth_time_m,pws_f,pws_m
Mongolia,30283.074,65.095,47.91666667,5.1,8,34,4.6,28.8,2.04,68,0.735,4240,5.456200123,35,37.3,23.1,50.9,66.4,53.7,78.5,33.6,2.153488372,46.3,21.5,15.7,26.5,5.2,11.6,15.1,6.4,5,8.2,12.8,3.8,22,27.7,10,0.7155,0.1215,0.767,0.9935,0.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Montenegro,45169.267,444.064,42.43333333,4.3,16.1,31.9,2.4,38.9,NaN,75.6,0.826,7380,5.54610014,45,22.9,12.4,32.9,46,31.8,59.6,54,1.688118812,68.2,40.4,26.9,42.4,11.4,6.2,8.6,3.8,3,11.5,18.3,5,14,18.7,6.6,0.732,0.219,0.7405,0.998,0.971,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Morocco,3437.062,44.117,34.01666667,4.1,10.2,40.9,0.8,29.7,2.09,73.1,0.68,3370,5.094799995,40,94.6,91.6,97.4,97.4,96.1,98.7,2.6,3,3.9,1.3,0.5,0.9,0.1,0.8,1.2,0.3,1,0.7,1.2,0.2,21.6,25.8,9.3,0.618,0.1355,0.427,0.9505,0.961,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Mozambique,737.868,7.122,25.95,3.7,24.5,45.6,15.3,17.3,5.02,57.9,0.452,603,NaN,NaN,66.8,53.1,79.4,79,69.5,87.7,21,2.479674797,30.5,12.3,8.7,15.6,2.4,2.4,3.8,0.8,3,2.3,3.9,0.9,10.9,13.4,5.1,0.755,0.4935,0.6545,0.893,0.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Myanmar,1163.844,35.817,NaN,NaN,NaN,NaN,NaN,NaN,NaN,69.1,0.579,1350,4.308000088,28,50.1,34.7,64.6,72.9,61.7,83.5,27.1,2.321212121,38.3,16.5,8.9,15.9,2.3,6.6,10.5,2.4,4,5.1,8.4,2,15.4,19.3,7,0.679,0.1135,0.647,0.976,0.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Namibia,6687.735,160.573,22.56666667,-0.8,34,59.7,6.1,21.4,3.21,64.7,0.645,4630,NaN,NaN,54.3,38.9,68.4,69.7,57.6,80.9,30.3,2.219895288,42.4,19.1,17.1,28.9,6.5,6.1,9.5,2.5,5,5.4,9.1,2.1,31.3,39.5,14.7,0.808,0.463,0.7895,0.9995,0.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Nauru,42652.76,9.23,NaN,4,23,NaN,5.1,26.7,2.76,NaN,NaN,NaN,NaN,NaN,53.7,38.8,68.3,78,68.5,87.2,22,2.4609375,31.5,12.8,14.4,23.6,5.4,NaN,NaN,NaN,NaN,3.7,6.2,1.3,22.5,27.8,10.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Nepal,3435.136,41.25,27.71666667,7.9,3,32.8,4.5,24.5,2.07,70.8,0.596,1020,5.137199879,33,66.9,53.1,79.1,72.9,61.6,82.9,27.1,2.245614035,38.4,17.1,9.8,17.7,2.8,2.3,3.6,0.9,2,2.1,3.5,0.8,6.9,8.7,3.2,0.6875,0.244,0.6355,0.9055,0.965,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Netherlands,49070.546,131.609,52.35,2.9,4.9,30.3,1.3,42.7,1.78,81.7,0.942,47800,7.448900223,82,12.1,5.9,18.1,27.9,16.7,38.8,72.1,1.361111111,83.3,61.2,31.6,48,14.9,3.6,5.7,1.7,2,9.6,14.8,4.5,11.4,15.9,5.5,0.7645,0.4035,0.694,1,0.962,428.36748,224.94611,145.41707,696.65802,666.23254,300.22305,329.58533,16.739883,13.825583,201.43257,284.93921
New Zealand,39793.121,45.871,41.3,3,4.7,36.2,1.9,38.1,2.01,81.8,0.928,40300,7.299600124,88,10.6,5.1,15.8,25.4,14.9,35.2,74.6,1.313271605,85.1,64.8,35.2,53.1,18.3,4.2,6.3,2.1,2,10.6,16.4,5.2,13.7,19.4,6.9,0.8405,0.645,0.7505,1,0.966,474,264,141,656,639,295,306,19,16,205,338
Nicaragua,230.204,3.698,12.13333333,4.9,6.4,47.1,3.9,26.2,1.87,75.2,0.659,2090,6.13710022,22,31.6,18.7,43.8,67.5,55.1,79.2,32.5,2.158653846,44.9,20.8,12.1,21.3,3.6,7.7,12.2,2.1,4,5.2,8.5,2.1,15.1,19.2,7,0.803,0.616,0.6175,1,0.978,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Niger,39.01,1.297,13.51666667,4.9,0.3,34,2.4,15.5,6.35,62,0.391,514,4.909599781,32,75.2,66.2,84.2,79.8,71.2,88.3,20.2,2.461538462,28.8,11.7,6.2,11,1.4,1,1.4,0.4,2,0.7,1.2,0.2,2.3,2.8,1.1,0.632,0.155,0.6725,0.738,0.964,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Nigeria,129.176,1.531,9.083333333,0.8,16.5,48.8,16.5,18.3,4.85,63.8,0.534,2510,4.724100113,25,43.1,30.4,56.3,47.4,33,62.3,52.6,1.777188329,67,37.7,27.3,43.1,11.3,7.9,12.1,3.5,5,10.8,17.2,4.4,24.3,31.4,11.7,0.633,0.0435,0.7055,0.816,0.967,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Niue,7663.782,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,41.3,26.8,55.4,66.8,54.5,78.9,33.2,2.156398104,45.5,21.1,23.2,36.2,10.4,NaN,NaN,NaN,NaN,10.7,17,4.2,28.1,34.6,12.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
North Macedonia,16545.709,459.254,42,0,22.4,33.7,1.4,38.2,1.49,74.3,0.77,5170,NaN,NaN,23.1,12.6,33.4,46.3,32.3,60.1,53.7,1.696741855,67.7,39.9,26.5,41.8,11.1,4.3,6.9,1.4,2,6.2,9.9,2.4,13.9,18.5,6.5,0.716,0.289,0.613,0.99,0.972,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Norway,27365.703,81.676,59.91666667,1.9,4.2,26.8,1.9,39.3,1.85,82.8,0.956,76000,7.487999916,84,9.3,4.5,14.2,21,12,30.2,79,1.260744986,88,69.8,35.4,52.2,17.9,3.4,5.4,1.4,2,7.4,11.2,3.6,9.7,13.4,4.7,0.847,0.651,0.7785,0.9945,0.964,436.633605,227.40991,168.48694,641.81549,614.54816,365.84821,370.3389,4.9389901,9.2430582,199.98746,277.3829
Oman,7815.708,90.627,23.61666667,-0.9,NaN,NaN,1.6,25.8,2.8,73.6,0.813,15100,NaN,NaN,85.3,81.5,94.2,91.7,89.6,96.7,8.3,3.151515152,10.4,3.3,2.1,2.9,0.3,1.6,2,0.7,1,0.8,1,0.2,9.2,10,3.6,0.6085,0.041,0.4675,0.9635,0.961,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Pakistan,713.083,13.867,33.68333333,5.4,6,30.7,4.1,24.1,2.55,65.5,0.552,1500,5.69329977,31,96.5,94.7,98.4,98.8,98.2,99.4,1.2,3,1.8,0.6,0.1,0.1,0,0.6,0.8,0.2,1,0.3,0.6,0.1,20.3,23.8,8.8,0.56,0.155,0.3235,0.818,0.944,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Palau,31975.459,38.691,7.483333333,-3.7,1.7,NaN,0.9,33.6,1.7,NaN,NaN,NaN,NaN,NaN,.,.,.,NaN,NaN,NaN,.,#VALUE!,.,.,.,.,.,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Panama,23077.167,197.438,8.966666667,5.4,6,50.7,0.9,29.5,2.28,79.9,0.812,14900,6.304800034,35,19.5,10.4,28.5,52.3,38.5,66,47.7,1.808823529,61.5,34,21.5,34.9,8,5.3,8.2,1.3,3,8,12.6,3.4,16.2,21,7.5,0.74,0.252,0.7405,0.996,0.973,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Papua New Guinea,515.769,7.466,9.45,2.5,2.5,50.9,5.4,23.4,2.97,64.4,0.549,2750,NaN,NaN,67.6,54.8,80.7,86.3,80.1,92.7,13.7,2.726027397,19.9,7.3,7.8,13.2,2.3,2.3,3.5,1,2,1.4,2.3,0.5,7.7,9.2,3.4,0.635,0,0.684,0.895,0.959,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Paraguay,10068.842,275.091,25.26666667,4.8,5.7,51.7,3.6,28.7,1.9,76.5,0.727,5870,5.692100048,28,24.7,13.9,35.7,64,51.6,76.8,36,2.086206897,48.4,23.2,17.2,28.3,5.7,6.3,9.7,2.2,4,7.6,11.9,3.2,19.1,23.9,8.8,0.7045,0.169,0.677,0.998,0.9745,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Peru,12826.634,659.308,12.05,2.5,6.9,45.3,2.8,28.4,2.1,80,0.771,6570,5.796800137,38,8.8,4.2,13.3,46.8,32.9,60.4,53.2,1.694444444,67.1,39.6,26.3,41.6,11,6.9,10.4,2.7,4,6.4,9.8,3.1,11.7,15.3,5.5,0.735,0.3625,0.646,0.9675,0.964,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Philippines,3682.649,58.97,14.6,6.7,5.7,44.4,2.9,23.7,2.99,71.6,0.711,3500,6.006000042,34,43.1,28.6,57.7,66.9,54.7,79,33.1,2.157142857,45.3,21,12.1,20.8,3.4,5.2,7.7,1.8,4,6.9,11,2.8,19,23.7,8.7,0.7835,0.361,0.7945,0.998,0.979,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Poland,16736.213,311.709,52.25,4.7,4.9,30.8,2,41.1,1.36,78,0.877,14300,6.186299801,56,13.5,6.5,19.9,32,19.3,43.6,68,1.430851064,80.7,56.4,38.9,57.1,21,6.9,10.6,2.9,4,11.7,18.4,5.6,16.4,22.9,7.9,0.711,0.171,0.7,0.994,0.98,485.89434,295.00824,158.78271,666.81372,645.25305,262.41089,310.96182,12.566577,10.205232,203.20055,314.79718
Portugal,53773.348,246.166,38.71666667,2.7,8.9,33.9,1.6,43.7,1.39,81.7,0.86,21000,5.910900116,61,12.6,6,18.4,30.8,18.4,41.7,69.2,1.399656947,81.6,58.3,31.3,48.6,15.2,5.9,9.6,2.2,3,12,19.4,5.6,16.5,23.5,8.2,0.7705,0.377,0.7415,0.991,0.9725,514.0183705,328.15643,96.268341,673.74304,677.23273,199.77654,289.14047,7.0391064,5.0314465,231.28491,372.32706
Qatar,16605.665,23.776,25.28333333,1.6,8.9,41.1,0.4,33.4,1.89,76.1,0.845,59800,NaN,NaN,44.9,37.5,68.2,54.4,47.9,74.8,45.6,2.067460317,52.1,25.2,20.5,25.6,4.6,6.9,8.3,1.3,2,1.6,1.9,0.4,5.7,6.2,2.2,0.6205,0.043,0.5015,0.9885,0.9475,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Republic of Korea,52855.792,59.502,37.55,3.1,3.7,35.7,1.9,42.3,1.27,82.9,0.914,31000,NaN,NaN,7.1,3.3,10.8,36.1,23,48.8,63.9,1.50390625,77,51.2,33,49.9,15.7,7.6,11.8,2.6,2,9.7,14.7,4.8,15.5,21,7.3,0.688,0.213,0.589,0.9745,0.976,476.187987,215.00894,48.994484,679.87683,675.8324,243.97131,272.44778,31.756468,23.739212,269.38647,418.98608
Republic of Moldova,14749.268,295.441,47,4.5,4.1,26.8,6.6,37,1.57,74,0.746,3260,5.607500076,34,11.4,5.4,16.8,33.4,20.4,45.2,66.6,1.452554745,79.6,54.8,28.6,45.1,13,26.1,26.9,25.3,5,11.4,18.3,5.3,27.1,36.4,12.7,0.778,0.349,0.7885,0.996,0.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Romania,17056.556,348.06,44.43333333,6.9,4.9,27.3,1.3,41.6,1.36,75.5,0.823,10700,6.123700142,44,13.5,6.5,19.9,32.8,19.9,44.5,67.2,1.443243243,80.1,55.5,39,57.2,21.1,8.6,12,4.7,4,11.7,18.6,5.5,17.6,24.6,8.5,0.699,0.101,0.7165,0.9975,0.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Russian Federation,14794.88,268.615,55.75,1.5,5.2,41.2,3.7,39.8,1.61,73,0.823,11900,5.546000004,30,27.2,24,30,41.9,38.6,44.6,58.1,1.108303249,61.4,55.4,38.8,49.8,29.1,21.6,23.1,19.9,5,11.2,19.1,4.6,20.8,28.5,9.8,0.708,0.085,0.767,1,0.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Rwanda,1025.014,11.326,1.95,6.1,2.7,50.4,4.8,19.2,3.75,68.3,0.54,830,3.312299967,54,48.8,33.2,62.4,65,51.6,76.6,35,2.068376068,48.4,23.4,17.9,30.9,6.9,6.7,9.9,3.2,4,9,14.8,3.5,24.2,31.1,11.7,0.808,0.563,0.7365,0.9585,0.974,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Saint Kitts and Nevis,12325.162,86.479,17.3,2.1,4.5,NaN,0,35.5,1.77,NaN,NaN,NaN,NaN,NaN,22.8,12.5,33,45.2,31.4,58.7,54.8,1.661016949,68.6,41.3,28.7,44.7,12.7,NaN,NaN,NaN,NaN,8.9,14.1,4,16.1,21.4,7.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Saint Lucia,16180.082,222.19,14,3,20,NaN,0.1,35.5,1.74,75.1,0.758,11000,NaN,NaN,26,14.5,36.9,50.3,36.1,63.7,49.7,1.760330579,63.9,36.3,25.4,40.7,10.7,6.3,10,2.1,4,10.6,17.2,4.4,18.9,24.9,8.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Saint Vincent and the Grenadines,8539.751,104.561,13.13333333,0.7,18.8,NaN,2.2,34.2,1.78,72.8,0.736,7210,NaN,NaN,29,16.9,41.3,53.4,39.7,67.2,46.6,1.838414634,60.3,32.8,22.8,36.6,8.7,4.4,7.2,0.7,3,9.1,14.4,3.7,16.8,21.7,7.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Samoa,8047.315,14.616,13.81666667,2.5,5.2,NaN,1.3,24.8,2.64,70.4,0.709,4300,NaN,NaN,63.1,49.7,77.4,84,77.1,91.5,16,2.694117647,22.9,8.5,9.9,16.1,3.1,2.4,3.4,1.2,1,2.7,4.3,0.9,14.3,17.1,6.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sao Tome and Principe,2864.587,35.134,0.333333333,3.9,12.2,30.8,5.7,18.7,4.11,70.7,0.624,1670,NaN,NaN,60,48,71.8,66,NaN,78.5,34,2.176744186,46.8,21.5,13.9,23.9,4.1,7,10.2,3.2,5,5.9,9.3,2.6,18.9,23.5,8.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Saudi Arabia,2371.322,27.176,24.65,-0.9,6,45.9,-0.9,29.9,2.04,74.3,0.854,20100,6.406499863,53,93.4,91.4,96.1,94.2,92.7,96.5,5.8,2.085714286,7.3,3.5,0.2,0.2,0,0.2,0.3,0.1,1,0.2,0.3,0,3,3.6,1.3,0.6195,0.077,0.457,0.9795,0.964,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Senegal,530.778,11.754,14.73333333,7.2,48,40.3,1.3,19,4.2,68,0.516,1360,4.980800152,45,74.3,64.4,83.4,78.9,69.6,87.5,21.1,2.432,30.4,12.5,6.4,11.7,1.5,1.6,2.4,0.7,2,0.8,1.4,0.2,3.3,4.1,1.5,0.676,0.3255,0.5185,0.8945,0.967,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Serbia,34977.857,250.942,44.83333333,1.9,14.1,38.7,3.1,42.8,1.44,75.6,0.803,6260,5.77820015,38,17.9,9.1,26,40,26.2,53,60,1.570212766,73.8,47,32.9,50,15.8,4.5,7.3,1.6,3,8.8,13.9,3.9,17.6,24,8.4,0.7795,0.4465,0.7025,0.998,0.9705,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Seychelles,50909.535,173.874,4.616666667,5.3,3,46.8,2.9,35.8,1.85,NaN,NaN,NaN,NaN,NaN,23.2,12.7,33.8,45.1,31.3,59.1,54.9,1.679706601,68.7,40.9,26,40.8,10.5,8.6,12.8,2.8,4,20.5,32,9.5,21,27.6,9.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sierra Leone,97.267,1.567,8.483333333,3.7,15,34,18.2,19.1,4.69,61.2,0.447,630,3.926399946,33,63.5,52.1,74.6,69.1,56.9,80.8,30.9,2.244791667,43.1,19.2,12,21,3.4,4.6,7.1,2,5,5.7,9.9,1.6,17.2,21.2,8,0.6635,0.083,0.7155,0.8905,0.966,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Singapore,37032.485,29.109,1.283333333,3.6,2.2,45.9,0.6,34.9,0.84,84.7,0.936,61100,6.377099991,85,6.7,3.1,10.2,30,18.3,41.2,70,1.389455782,81.7,58.8,32.2,49.2,15.5,2.4,3.5,1.2,1,2,3.1,1,2.8,3.9,1.4,0.7305,0.2125,0.757,0.9915,0.963,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Slovakia,34005.06,379.873,48.15,3.4,8.1,23.7,1.3,41,1.42,77.5,0.858,17700,6.280600071,49,11.6,5.6,17.4,30.8,18.4,42.3,71.3,1.381666667,82.9,60,39.2,57.5,21.3,8.3,12.9,3.2,4,11.1,17.4,5.4,16,22.3,7.7,0.7145,0.1865,0.6905,1,0.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Slovenia,60044.345,408.615,46.05,5,6.6,24.4,1.4,44.2,1.58,81.4,0.912,23500,6.363399982,60,67.7,55,80.6,28.7,17.1,40,13.5,2.698630137,19.7,7.3,42.3,60.3,23.7,8,12.7,3.5,3,11.9,18.4,5.6,17,23.7,8.1,0.7425,0.1905,0.8025,1,0.977,493.328315,286.19876,166.4624,630.43781,631.75488,283.19666,336.93594,6.0041695,5.0139275,234.16261,299.83286
Solomon Islands,3577.751,22.275,9.433333333,3.5,NaN,NaN,0.5,22.8,3.09,59,0.564,2320,NaN,NaN,97.1,95.5,98.7,86.5,80.3,92.7,0.7,3.666666667,1.1,0.3,7.8,13.2,2.4,2.1,2.9,1.1,2,1.8,3,0.6,9.6,11.5,4.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Somalia,171.683,8.563,2.066666667,2.3,NaN,NaN,1.5,18.2,5.7,NaN,NaN,NaN,NaN,NaN,53.5,38.3,68,99.3,98.9,99.7,31,2.226804124,43.2,19.4,0,0.1,0,0.2,0.3,0.1,1,0,0,0,1.2,1.4,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
South Africa,6813.47,172.703,25.7,1.3,27.5,62.5,5.3,27.4,2.26,64.4,0.707,5640,4.814099789,44,NaN,NaN,NaN,69,56.8,80.6,NaN,#DIV/0!,NaN,NaN,17.7,29.3,6.6,6.4,10,2.2,5,9.5,15.9,3.5,28.9,36.2,13.2,0.7815,0.4975,0.6535,0.996,0.979,420.86209,249.58841,102.93914,694.82947,695.37225,NaN,334.19431,18.698801,13.1774,195.03345,294.16318
South Sudan,163.931,1.233,4.85,-5.2,NaN,46,187.9,18.1,5.34,63,0.429,NaN,NaN,NaN,.,.,.,NaN,53.2,NaN,.,#VALUE!,.,.,.,.,.,3,4.5,1.3,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Spain,28723.332,244.865,40.4,3,17.2,35.9,2,43.1,1.5,83.1,0.905,27700,6.400899887,62,13.6,6.6,20.1,31.4,19.1,43,68.6,1.419298246,80.9,57,29.7,45.8,13.5,4.3,6.7,1.8,2,12.7,20.1,5.8,13.7,19.1,6.6,0.788,0.486,0.704,0.998,0.965,419.009985,289.1279,145.90932,686.55231,696.88,283.99557,347.16925,13.180323,13.661777,166.75362,236.22913
Sri Lanka,3136.708,78.465,6.916666667,3.3,4.4,39.2,6.5,33.1,2.05,77.2,0.779,4160,4.327000141,38,48.3,32.6,62.4,71.3,59.4,82.1,28.7,2.268156425,40.6,17.9,9.7,17.3,2.6,4.6,7.5,1.1,3,4.1,6.8,1.7,13.9,17.7,6.3,0.67,0.162,0.5515,0.988,0.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sudan,145.127,11.38,15.6,1.4,19.6,NaN,32.4,17.9,4.85,70.1,0.506,2100,NaN,NaN,95.2,92.7,97.8,97.7,96.6,98.9,2.3,3.090909091,3.4,1.1,0.4,0.7,0.1,0.7,1.1,0.3,1,0.5,0.9,0.1,18,21.2,7.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Suriname,13846.5,237.287,5.833333333,1.9,8.9,NaN,22,30.2,1.9,72.6,0.734,9020,NaN,NaN,34.1,20.7,47.4,57.8,44.2,71.3,42.2,1.944250871,55.8,28.7,18.9,31.1,6.5,5,7.7,1.5,4,5.3,8.5,2.2,12.2,15.6,5.6,0.733,0.2525,0.717,0.9925,0.971,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sweden,25433.681,203.668,59.33333333,2.1,6.7,24.9,1.9,41.1,1.87,82.7,0.943,53000,7.353499889,85,11.6,5.7,17.5,27,16.1,37.8,73,1.348874598,83.9,62.2,32.4,48.9,15.5,3.6,5.8,1.5,2,8.9,13.7,4.2,12,16.6,5.8,0.8225,0.5185,0.811,0.998,0.9625,489.67199,220.15288,171,633.43988,611,306.21265,338,5.0034747,7,275.1911,313
Switzerland,49881.439,158.725,46.91666667,1.7,3.2,29.5,0.5,42.5,1.56,83.9,0.955,88000,7.559899807,85,7.5,3.5,11.4,18.8,10.4,27,81.2,1.22739726,89.6,73,39.9,57.7,22,4.5,7,2.2,2,11.5,17.7,5.6,13.6,19.4,6.7,0.7965,0.4965,0.736,0.99,0.964,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Syrian Arab Republic,327.971,18.074,33.5,-36.5,50,NaN,28.1,24.5,2.44,NaN,NaN,NaN,NaN,NaN,97.7,96.2,99.2,98,96.6,99.3,2,4.857142857,3.4,0.7,0,0.1,0,0.1,0.2,0.1,1,0.2,0.4,0.1,25.6,30,11.1,0.568,0.067,0.285,0.953,0.965,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Turkey,20061.448,119.995,39.93333333,7.4,10.9,40.2,11.1,31.4,2,78.1,0.817,12000,5.131800175,40,89.1,82.7,95.1,93.1,89,97,6.9,3.666666667,11,3,1.5,2.9,0.2,1.4,2.1,0.5,1,2.1,3.6,0.6,24.8,29,10.4,0.6385,0.123,0.4895,0.974,0.9665,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Tajikistan,186.482,1.311,38.55,7.1,2.4,32.6,7.3,24.8,2.59,69.2,0.661,1120,5.555699825,25,53.8,39.1,68.6,79.3,70.4,88.2,20.7,2.508474576,29.6,11.8,7.9,13.9,2,5.3,7.3,2.9,3,3.3,5.6,1,15,18.3,6.8,0.6565,0.121,0.5915,0.942,0.969,432.418243,305.04739,67.591736,684.50616,679.09766,270.44739,300.95496,46.099934,34.116821,133.94724,358.25012
Thailand,6743.905,47.536,13.75,3.9,0.7,44.5,0.7,38.1,1.52,78.3,0.772,6490,5.998799801,36,34.5,20.8,47.6,59.1,45.4,72.3,40.9,1.971119134,54.6,27.7,16.8,28.4,5.6,7.4,11.3,2.4,4,8.3,13.4,3.5,19.6,25.3,8.8,0.7095,0.084,0.791,0.9855,0.978,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
The United Kingdom,35353.533,289.929,51.5,1.7,4.4,32.4,2.7,40.5,1.88,81,0.928,46200,7.164500237,77,11,5.3,16.4,26.6,15.7,37,73.4,1.338095238,84.3,63,33.7,50.9,16.7,4.6,6.9,2.5,2,11.5,17.8,5.4,14.7,20.7,7.3,0.7775,0.421,0.7245,0.999,0.9655,456.76741,248.63229,140.0818,655.42712,634.91687,284.67795,326.51575,35.057838,29.869604,216.20476,308.61597
Timor-Leste,1770.495,10.467,8.583333333,-4.6,4.4,31.9,0.6,19.1,4.67,70.5,0.599,1230,NaN,NaN,58,43.7,72.6,78.4,69.4,87.6,21.6,2.467741935,30.6,12.4,6.5,11.3,1.4,2.9,4.4,0.9,3,2.2,3.4,0.9,9,10.9,4.1,0.725,0.244,0.7225,0.9615,0.9725,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Togo,475.049,3.503,6.116666667,4.4,6.9,46,-0.7,19.9,4.32,64.5,0.51,613,4.187200069,29,69.9,59.7,79.7,74.3,63.5,84.8,25.7,2.401315789,36.5,15.2,8.8,15.7,2.2,2.7,4.1,1.2,4,2.5,3.9,1,11.5,14.2,5.3,0.69,0.19,0.7925,0.7995,0.979,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
