country,COVID cases/100k,deaths_per_100k,capital city latitude,GDP real growth rate,unemployment rate,gini index,inflation rate,median age,total fertility rate,life expectancy,HDI index,GDP per capita,happiness score,corruption index(cpi),abstainer(lifetime),abstain_lt_m,abstain_lt_f,abstainer(12 month),abstain_12m_m,abstain_12m_f,consumer(12 month),consumer gender ratio(male/female),consumers_12m_m,consumers_12m_f,heavy episodic drinking(30 days),heavy_12m_m,heavy_12m_f,alcohol attributable death,alc_death_m,alc_death_f,years of life lost by alcohol,alcohol consumption,alc_csm_m,alc_csm_f,alcohol consumption(drinkers only),alc_csm_dr_m,alc_csm_dr_f,gender gap index,ggi_polit,ggi_econ,ggi_edu,ggi_health,work hours (unpaid+paid+study),upw_f,upw_m,pc_f,pc_m,leis_f,leis_m,oth_time_f,oth_time_m,pws_f,pws_m
Botswana,13887.959,118.301,24.63333333,2.4,20,60.5,3.3,24.9,2.53,61.8,0.73,7170,3.478899956,60,53,38,67.8,68,56,80,32,2.2,44,20,18,29.5,6.6,5.7,9,2.1,4,6.6,10.9,2.5,25.6,31.9,11.7,0.7175,0.0845,0.8045,1,0.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Brazil,16554.706,324.397,15.78333333,1,12.8,49,3.4,32.4,1.75,75.7,0.762,8580,6.375599861,38,21.4,11.4,30.8,59.7,46,72.7,40.3,1.978021978,54,27.3,19.7,32.6,7.2,6.9,10.9,1.7,4,7.4,11.8,3.3,19.2,24.7,8.8,0.6955,0.137,0.667,1,0.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Brunei Darussalam,58956.201,32.687,4.883333333,1.3,6.9,NaN,-0.2,30.5,1.77,74.2,0.836,29800,NaN,NaN,38.6,42.2,34.7,66.7,62.7,70.9,33.3,1.281786942,37.3,29.1,9.8,13.9,5.5,2.2,2.9,1.4,1,0.5,0.7,0.2,1.2,1.6,0.6,0.679,0.031,0.724,0.9945,0.9655,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Bulgaria,18514.541,547.207,42.68333333,3.6,6.2,40.2,1.2,43,1.47,73.3,0.813,7990,5.101500034,44,13.9,6.8,20.6,34,20.8,46.1,66,1.469387755,79.2,53.9,38.7,56.6,20.6,5.9,8.7,2.9,4,12.7,20.2,5.7,18.5,25.6,8.8,0.743,0.2625,0.7375,0.993,0.979,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Burkina Faso,103.481,1.851,12.36666667,6.4,77,39.5,0.4,17.4,4.77,61.3,0.443,719,4.768700123,40,58.5,47.2,69.3,63.1,48.8,76.8,36.9,2.206896552,51.2,23.2,15.7,27.3,4.8,4.5,6.7,2.4,5,12,20.2,4.2,20.9,26.2,9.9,0.655,0.066,0.7035,0.8745,0.978,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Burundi,429.055,0.126,3.366666667,0,NaN,42.4,16.6,17.1,5.93,63.4,0.431,282,3.775300026,19,52.9,37.8,67.4,68.4,56.3,80,31.6,2.185,43.7,20,15.7,26.5,5.3,5,7.4,2.2,5,7.2,11.9,2.8,22.7,28.4,10.6,0.773,0.345,0.855,0.9115,0.979,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cote d'Ivoire,333.172,3.147,6.816666667,7.8,9.4,41.5,0.8,19.9,3.83,63.6,0.534,2250,NaN,NaN,56.7,45.7,68.3,61.5,47.7,75.9,38.5,2.170124481,52.3,24.1,17.1,28.4,5.2,5.7,8.4,2.5,5,2.7,4.3,1.1,20.3,25.3,9.5,0.6665,0.11,0.677,0.9095,0.9695,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cabo Verde,11329.581,74.102,14.91666667,4,9,NaN,0.8,25.8,2.21,NaN,NaN,NaN,NaN,NaN,55.7,44.2,67,66.2,53.1,78.6,39.4,2.152,53.8,25,13.5,23.4,4,4.5,7.2,1.9,3,5.6,8.8,2.4,16.8,21.1,7.8,0.744,0.269,0.7485,0.986,0.974,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cambodia,825.9,18.279,11.55,6.9,0.3,37.9,2.9,25.7,2.47,69.7,0.585,1360,4.848400116,21,45.6,30.3,59.6,69.1,56.8,80.4,30.9,2.204081633,43.2,19.6,10.9,19.5,3.1,8,12.1,3.8,5,6.6,10.9,2.7,20.3,25.7,9.5,0.71,0.1745,0.7405,0.947,0.979,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cameroon,467.09,7.402,3.866666667,3.5,4.3,46.5,0.6,18.6,4.58,62.6,0.56,1380,5.084899902,25,60.9,48.5,72.8,60.6,46.2,75,33.8,2.191588785,46.9,21.4,17.6,29.7,5.6,6,9.1,2.7,5,5.7,9,2.4,21,26.5,9.9,0.691,0.1545,0.708,0.9255,0.9755,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
