Name,continent,Cases - cumulative total,Deaths - cumulative total,GDP - per capita (PPP),Industrial production growth rate,Unemployment rate,Distribution of family income - Gini index,Birth rate,Death rate,Net migration rate,Maternal mortality rate,Life expectancy at birth,life_exp,gdp,happiness_score,health,freedom,government_trust,alcohol death both,consumption drinkers Both sexes
Bulgaria,Europe,1287035,38039,"$21,800",3.6,6.2,40.2,8.5,14.5,-0.3,10,74.8,73.3,7990,5.101500034,0.777776897,0.417820066,0,5.9,18.5 [19.5-]
Burkina Faso,Africa,21631,387,"$1,900",10.4,77,39.5,36.9,8.7,-0.7,320,61.8,61.3,719,4.768700123,0.312833875,0.322398156,0.126408055,4.5,20.9 [23.1-]
Burundi,Africa,51018,15,$700,-2,unknown,42.4,40.9,8.6,0,548,61.4,63.4,282,3.775300026,0.295212835,0.275399059,0.212186828,5,22.7 [25.3-]
C?te d’Ivoire,Africa,87885,830,"$3,900",4.2,9.4,41.5,30.1,8.4,1.3,617,60.1,63.6,2250,,,,,5.7,20.3 [22.6-]
Cabo Verde,,62991,412,"$7,000",2.9,9,unknown,19.7,6,-0.6,58,72.7,,,,,,,4.5,16.8 [18.3-]
Cambodia,Asia,138082,3056,"$4,000",10.6,0.3,37.9,22.5,7.4,-0.3,160,65.2,69.7,1360,4.848400116,0.587904334,0.674940348,0.072837502,8,20.3 [22.8-]
Cameroon,Africa,123993,1965,"$3,700",3.3,4.3,46.5,35,9.4,-0.1,529,59.4,62.6,1380,5.084899902,0.270189553,0.439242482,0.054393422,6,21 [22.8-]
Canada,North America,4408316,47782,"$48,400",4.9,6.3,32.1,10.2,8.8,5.7,10,82,82.2,44800,7.23210001,1.022501945,0.644028127,0.351701856,4.5,13.4 [14.2-]
Cayman Islands,,31359,36,,,,,,,,,,,,,,,,,
Central African Republic,Africa,15310,113,$700,3.9,6.9,43.6,34,12.9,0,829,53.3,51.5,413,,,,,3.6,8.3 [9.3-]
Chad,Africa,7641,194,"$2,300",-4,unknown,43.3,43,10.5,-0.1,"1,140",57.5,59.9,659,4.422699928,0.1087441,0.228601769,0.085755408,1.8,6.6 [7.5-]
Chile,South America,4915134,62417,"$24,600",-0.4,6.7,50.5,13.4,6.3,0.3,13,79.1,80.1,13900,6.228499889,0.889260828,0.417482227,0.06284935,5.4,13.4 [14.3-]
China,Asia,9666687,30205,"$18,200",6.1,3.9,46.5,12.1,8,-0.4,29,75.8,77.4,9690,5.123899937,0.867248535,0.601605117,0.117255554,3.8,12.7 [13.6-]
Colombia,South America,6314769,141895,"$14,400",-2.2,9.3,51.1,15.8,5.5,-0.6,83,76.2,80.1,6270,6.163400173,0.810020149,0.526890039,0.04584837,5.1,14.7 [15.9-]
Comoros,Africa,8965,160,"$1,600",1,6.5,55.9,25.3,7.1,-2.4,273,64.9,68.5,1290,,,,,0.9,17.9 [21.4-]
Congo,Africa,25074,386,"$6,800",-3,36,48.9,33.7,9.2,-2.8,378,60.3,65,1840,,,,,8.3,14.1 [15.6-]
Cook Islands,,6389,1,,,,,,,,,,,,,,,,No data,32.9 [34.5-]
Costa Rica,North America,1146135,9038,"$16,900",1.3,8.1,48.5,15.3,4.8,0.8,27,78.9,80,12500,7.121399879,0.939635336,0.645017743,0.096362092,4.1,12.5 [13.5-]
Croatia,Europe,1253306,17312,"$24,700",1.2,12.4,30.8,8.8,12.4,-1.4,8,76.3,78.6,13300,5.504700184,0.900575578,0.381456882,0.012325006,6.1,14.2 [15.3-]
