Name,continent,Cases - cumulative total,Deaths - cumulative total,GDP - per capita (PPP),Industrial production growth rate,Unemployment rate,Distribution of family income - Gini index,Birth rate,Death rate,Net migration rate,Maternal mortality rate,Life expectancy at birth,life_exp,gdp,happiness_score,health,freedom,government_trust,alcohol death both,consumption drinkers Both sexes
Romania,Europe,3296834,67276,"$24,600",5.5,4.9,27.3,8.7,12,-0.2,19,75.6,75.5,10700,6.123700142,0.79229486,0.534852326,0.000829569,8.6,17.6 [18.8-]
Russian Federation,Europe,21590828,392002,"$27,900",-1,5.2,41.2,10.7,13.4,1.7,17,71.3,73,11900,5.546000004,0.68044591,0.399499595,0.045699362,21.6,20.8 [22.7-]
Rwanda,Africa,132762,1467,"$2,100",4.2,2.7,50.4,29.8,6.3,-0.5,248,64.5,68.3,830,3.312299967,0.572383285,0.604087889,0.485542476,6.7,24.2 [26.1-]
Saba,,736,2,,,,,,,,,,,,,,,,,
Saint Barth?lemy,,5348,5,,,,,,,,,,,,,,,,,
Saint Helena,,0,0,,,,,,,,,,,,,,,,,
Saint Kitts and Nevis,,6556,46,"$28,200",5,4.5,unknown,13,7.2,1.2,unknown,76.2,,,,,,,No data,16.1 [16.9-]
Saint Lucia,North America,29711,408,"$14,400",6,20,unknown,13.1,7.8,-2.2,117,78.1,75.1,11000,,,,,6.3,18.9 [20.2-]
Saint Martin,,12058,46,,,,,,,,,,,,,,,,,
Saint Pierre and Miquelon,,3250,1,,,,,,,,,,,,,,,,,
Saint Vincent and the Grenadines,North America,9474,116,"$11,500",2.5,18.8,unknown,13,7.4,-8,98,75.8,72.8,7210,,,,,4.4,16.8 [18-]
Samoa,Oceania,15967,29,"$5,700",-1.8,5.2,unknown,20.2,5.4,-8.8,43,74.2,70.4,4300,,,,,2.4,14.3 [15.6-]
San Marino,,22167,119,"$59,000",-1.1,8.1,unknown,8.6,8.8,7.2,unknown,83.4,,,,,,,No data,. [.-]
Sao Tome and Principe,Africa,6278,77,"$3,200",5,12.2,30.8,31.5,6.7,-8.2,130,65.7,70.7,1670,,,,,7,18.9 [20.6-]
Saudi Arabia,Asia,825549,9461,"$54,500",-2.4,6,45.9,15.6,3.3,4.1,17,75.7,74.3,20100,6.406499863,0.759818137,0.548477471,0.163322315,0.2,3 [3.5-]
Senegal,Africa,88873,1968,"$3,500",7.7,48,40.3,32.9,7.9,-1.4,315,62.5,68,1360,4.980800152,0.518391907,0.352400899,0.081865937,1.6,3.3 [3.8-]
Serbia,Europe,2422813,17382,"$15,100",3.9,14.1,38.7,8.9,13.6,0,12,75.9,75.6,6260,5.77820015,0.828403294,0.395428419,0.059447147,4.5,17.6 [18.8-]
Seychelles,,50068,171,"$29,300",2.3,3,46.8,13.4,7,1,unknown,75.2,,,,,,,8.6,21 [22.4-]
Sierra Leone,Africa,7759,125,"$1,600",15.5,15,34,36,10.2,-1.8,"1,120",59,61.2,630,3.926399946,0.203953966,0.382027686,0.047940936,4.6,17.2 [19-]
Singapore,Asia,2166527,1703,"$94,100",5.7,2.2,45.9,8.7,3.5,12.7,8,85.5,84.7,61100,6.377099991,1.137814283,0.635317206,0.533162236,2.4,2.8 [3-]
Sint Eustatius,,1206,5,,,,,,,,,,,,,,,,,
Sint Maarten,,10954,89,,,,,,,,,,,,,,,,,
Slovakia,Europe,1855953,20733,"$33,100",2.7,8.1,23.7,9.6,9.9,0.1,5,77.4,77.5,17700,6.280600071,0.853465259,0.423542529,0.011291441,8.3,16 [17.1-]
Slovenia,Europe,1258446,8564,"$34,500",8.6,6.6,24.4,9.2,9.9,1,7,81.2,81.4,23500,6.363399982,0.932548046,0.646700144,0.076516323,8,17 [18.1-]
Solomon Islands,Oceania,24575,153,"$2,200",3.6,unknown,unknown,24.5,3.8,-1.7,104,75.8,59,2320,,,,,2.1,9.6 [10.4-]
Somalia,,27286,1361,unknown,3.5,unknown,unknown,39.3,12.8,-5.6,829,53.2,,,,,,,0.2,1.2 [1.4-]
South Africa,Africa,4040980,102428,"$13,600",1.2,27.5,62.5,19.9,9.3,-0.9,119,64.1,64.4,5640,4.814099789,0.407034069,0.43478182,0.05950214,6.4,28.9 [31.2-]
South Sudan,Africa,18350,138,"$1,600",unknown,unknown,46,36.9,19.3,-29.2,"1,150",unknown,63,,,,,,3,
Spain,Europe,13595504,115901,"$38,400",4,17.2,35.9,9,9.2,7.5,4,81.8,83.1,27700,6.400899887,1.051343083,0.425983816,0.109579779,4.3,13.7 [14.7-]
Sri Lanka,Asia,671671,16802,"$12,900",4.6,4.4,39.2,14.8,6.3,-1.3,36,77.1,77.2,4160,4.327000141,0.792036712,0.528632462,0.049444564,4.6,13.9 [15.3-]
Sudan,Africa,63637,4990,"$4,300",4.5,19.6,unknown,34.2,6.7,1.9,295,65.8,70.1,2100,,,,,0.7,18 [21.9-]
Suriname,South America,81228,1392,"$14,900",1,8.9,unknown,15.6,6.1,0.5,120,72.8,72.6,9020,,,,,5,12.2 [13.1-]
Sweden,Europe,2626686,21034,"$51,200",4.1,6.7,24.9,12.1,9.4,5.3,4,82.2,82.7,53000,7.353499889,0.986470461,0.650297701,0.442066371,3.6,12 [12.9-]
Switzerland,Europe,4317048,13737,"$62,100",3.4,3.2,29.5,10.5,8.4,4.6,5,82.7,83.9,88000,7.559899807,1.040533185,0.62895447,0.407945901,4.5,13.6 [14.3-]
Syrian Arab Republic,,57397,3163,"$2,900",4.3,50,unknown,20.7,4,57,31,75.2,,,,,,,0.1,25.6 [28-]
T?rkiye,Asia,16919638,101203,"$27,000",9.1,10.9,40.2,15.4,6,-4.5,17,75.3,78.1,12000,5.131800175,0.781335294,0.25440076,0.120983243,1.4,24.8 [27.3-]
Tajikistan,Asia,17786,125,"$3,200",1,2.4,32.6,22.8,5.9,-1.1,17,68.4,69.2,1120,5.555699825,0.680594802,0.521141171,0.221779913,5.3,15 [17.5-]
Thailand,Asia,4707244,33180,"$17,900",1.6,0.7,44.5,11,8.1,0,37,75.1,78.3,6490,5.998799801,0.793855846,0.609449804,0.031837862,7.4,19.6 [21.1-]
The United Kingdom,Europe,24000101,196821,"$44,300",3.4,4.4,32.4,12,9.4,2.5,7,80.9,81,46200,7.164500237,0.97570008,0.525168657,0.322601646,4.6,14.7 [15.5-]
Timor-Leste,Asia,23343,138,"$6,000",2,4.4,31.9,32.9,5.8,-3.9,142,68.7,70.5,1230,,,,,2.9,9 [10.5-]
Togo,Africa,39328,290,"$1,700",5,6.9,46,32.8,6.8,0,396,65.8,64.5,613,4.187200069,0.342731178,0.303539038,0.114826456,2.7,11.5 [12.9-]
Tokelau,,0,0,,,,,,,,,,,,,,,,,
Tonga,Oceania,16182,12,"$5,900",5,1.1,unknown,21.8,4.9,-17.9,52,76.6,72.9,4680,,,,,1.7,9.7 [10.9-]
Trinidad and Tobago,North America,185237,4266,"$31,300",-4.3,4.9,unknown,12.3,8.9,-5.8,67,73.4,74.8,16500,,,,,4.8,14 [14.9-]
Tunisia,Africa,1147072,29268,"$11,900",0.5,15.5,40,17.4,6.4,-1.6,43,75.9,77.5,3950,4.392199993,0.781156719,0.235860556,0.043899573,1.4,33.4 [36.8-]
Turkmenistan,Asia,0,0,"$18,200",1,11,40.8,18.9,6.1,-1.8,7,70.7,70.6,7350,5.119100094,0.612448037,0.515236676,0.03350389,9.3,17.4 [19.2-]
Turks and Caicos Islands,,6446,36,,,,,,,,,,,,,,,,,
Tuvalu,,2710,0,"$3,800",-26.1,unknown,unknown,23.7,8.4,-6.6,unknown,67.2,,,,,,,No data,11.1 [12.1-]
Uganda,Africa,169638,3630,"$2,400",4.4,9.4,39.5,42.4,9.9,-0.7,375,56.3,65.7,872,4.43200016,0.378311664,0.401682556,0.063818842,6.5,25.4 [27.3-]
Ukraine,Europe,5336293,110505,"$8,800",3.1,9.2,25.5,10.1,14.3,4.6,19,72.4,73.9,3110,4.56069994,0.698674381,0.319423705,0.00965116,20.5,21.1 [23.2-]
United Arab Emirates,Asia,1044189,2348,"$68,600",1.8,1.6,unknown,9.8,1.7,6.3,3,78.7,73.7,39700,6.790800095,0.787814438,0.652936101,0.220213518,3.5,18.7 [21.1-]
United Republic of Tanzania,Africa,40656,845,"$3,200",12,10.3,37.6,35.3,7.5,-0.5,524,63.1,66.7,959,3.476200104,0.442677855,0.509343088,0.203880861,7.3,24.7 [27.1-]
United States of America,North America,97329491,1069757,"$59,800",2.3,4.4,45,12.4,8.2,3.8,19,80.1,79,59800,6.939599991,0.831618011,0.534608245,0.152284741,4.9,13.2 [13.9-]
United States Virgin Islands,,23509,124,,,,,,,,,,,,,,,,,
Uruguay,South America,993875,7537,"$22,400",-3.6,7.6,41.6,13,9.4,-0.9,17,77.6,77.5,16000,6.440100193,0.856928885,0.59426707,0.193425074,3.9,15.4 [16.4-]
Uzbekistan,Asia,246520,1637,"$6,900",4.5,5,36.8,16.6,5.4,-2.1,29,74.3,68.1,2900,6.257599831,0.716703713,0.693270326,0.280260265,6.5,12.5 [13.8-]
Vanuatu,Oceania,11981,14,"$2,700",4.5,1.7,unknown,23.5,4,-1.4,72,74,65.3,2860,,,,,1.8,6.7 [7.6-]
Venezuela (Bolivarian Republic of),South America,547396,5828,"$12,500",-2,27.1,39,18.5,5.3,-1.2,125,76.2,,,5.053199768,0.76702553,0.271717221,0.063624777,6.7,14.5 [15.5-]
Viet Nam,Asia,11515423,43172,"$6,900",8,2.2,34.8,15.2,5.9,-0.3,43,73.9,74.3,2460,5.353499889,0.819133997,0.650835574,0.089848459,7.3,21.1 [24.2-]
Wallis and Futuna,,3415,7,,,,,,,,,,,,,,,,,
Yemen,Asia,11945,2159,"$2,500",8.9,27,37.9,27.6,5.9,0.1,164,66.2,66.1,1290,3.527400017,0.41500017,0.243721485,0.087352127,0.1,7.3 [8.2-]
Zambia,Africa,333731,4019,"$4,000",4.7,15,57.5,41.1,12,0,213,53,62.5,1370,3.759399891,0.36359334,0.49131754,0.086705238,4.2,17 [18.9-]
Zimbabwe,Africa,259164,5620,"$2,300",0.3,11.3,43.2,34,9.9,-7.3,458,61.1,60.6,1510,3.299200058,0.375037611,0.37740472,0.080928579,3.1,25.4 [27.5-]
Burma,,,,"$6,300",8.9,4,unknown,17.7,7.3,-1.5,250,68.6,,,,,,,,
Taiwan,,,,"$50,500",3.9,3.8,33.6,8.2,7.6,0.9,unknown,80.4,,,,,,,,
Western Sahara,,,,"$2,500",unknown,unknown,unknown,28.9,7.9,5.4,unknown,63.8,,,,,,,,
