Name,Alternative name,Alternative name,WHO Region,continent,Country Code,Cases - cumulative total,Cases - cumulative total per 100000 population,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Government Type,Capital City,Latitude of Capital,Longitude of Capital,GDP - real growth rate,GDP - per capita (PPP),Industrial production growth rate,Unemployment rate,Distribution of family income - Gini index,Taxes and other revenues,Budget surplus (+) or deficit (-),Public debt,Inflation rate (consumer prices),Central bank discount rate,Commercial bank prime lending rate,Military expenditures,Median age,Population growth rate,Birth rate,Death rate,Net migration rate,Maternal mortality rate,Infant mortality rate,Life expectancy at birth,Total fertility rate,Obesity - adult prevalence rate,Education expenditures,"Unemployment, youth ages 15-24",year,life_exp,hdi_index,co2_consump,gdp,services,happiness_score,gdp_per_capita,cpi_corruption_score,health,freedom,generosity,government_trust,dystopia_residual,Year,social_support,abstainers lifetime Both sexes,abstainers lifetime Male,abstainers lifetime Female,abstainers 12m Both sexes,abstainers 12m Male,abstainers 12m Female,consumers 12m,consumers 12m Male,consumers 12m Female,heavy both,heavy male,heavy female,alcohol death both,alcohol death Male,alcohol death female,alcohol cancer death Male,alcohol cancer death Female,alcohol liver cirrhosis death Male,alcohol liver cirrhosis death Female,alcohol traffic death Male,alcohol traffic death Female,Alcohol-attributable Years of Life Lost (YLL) score,consumption Both sexes,consumption Male,consumption Female,consumption drinkers Both sexes,consumption drinkers Male,consumption drinkers Female
Belize,,,Americas,North America,BZ,69048,17364.974,688,173.026,parliamentary democracy,Belmopan,17 15 N,88 46 W,0.8,"$8,300 ",-0.6,9,unknown,29.9,-1,99,1.1,9.58,9.46,1.26,23.7,1.8,22.9,4.2,-0.6,36,12,74.7,2.8,24.1,7.4,15.3,2018,74.4,0.714,1.5,4710,67.4,,,,,,,,,,,34.4,21,47.4,58.5,45.1,71.6,41.5,54.9,28.4,18.7 [16.9-20.6],31.1 [28.4-33.7],6.6 [5.6-7.7],6.5,9.6,1.9,5.3,2.1,64.4,39.4,34.9,20.5,4,6.2 [6.6-9.3],9.9 [10.6-15],2.6 [2.7-3.8],15.4 [16.7-],19.8 [21.4-],7.3 [7.9-]
Benin,,,Africa,Africa,BJ,27980,230.797,163,1.345,republic,Porto-Novo,6 29 N,2 37 E,5.6,"$2,300 ",3,1,36.5,17.1,-6.2,54.6,0.1,4.25,5.3,0.86,18.4,2.68,34.5,7.7,0,397,51.5,62.7,4.67,9.6,4,5.6,2018,64,0.541,0.623,1160,42.6,5.21600008,0.366244704,41,0.328062952,0.40583989,0.196670428,0.125931874,3.440809727,2020,0.352428436,69.5,59.3,79.5,73.9,63,84.6,26.1,37,15.4,9.1 [8.2-10.1],16.1 [14.5-17.7],2.3 [1.9-2.7],2.6,4,1.1,3.3,1.1,42.9,22.3,19.8,13.8,4,2.8 [1.9-3.8],4.5 [3.1-6.2],1.1 [0.8-1.5],11.1 [12.5-],13.7 [15.3-],5.1 [5.7-]
Bermuda,,,Americas,,,18463,29648.483,151,242.481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,South-East Asia,Asia,BT,62503,8100.357,21,2.722,constitutional monarchy,Thimphu,27 28 N,89 38 E,7.4,"$9,000 ",6.3,3.2,38.8,27.2,-3.4,106.3,5.8,6,15,unknown,28.1,1.05,17,6.4,0,183,30.3,71.1,1.87,6.4,6.6,10.7,2018,73,0.649,1.61,3100,33.6,,,,,,,,,,,64.8,52.5,79.6,70.4,60.2,82.7,29.6,39.8,17.3,10.8 [9.4-12.2],17.5 [15.4-19.7],2.6 [2.2-3.2],2.4,3.6,1.1,2.3,0.6,14.4,13.7,21.8,13.1,2,0.4 [0.1-0.9],0.7 [0.2-1.4],0.2 [0.1-0.4],1.8 [2.1-],2.2 [2.5-],0.8 [0.9-]
Bolivia (Plurinational State of),Bolivia,,Americas,South America,BO,1110877,9516.62,22247,190.585,republic,La Paz,16 30 S,68 09 W,4.2,"$7,600 ",2.2,4,47,39.9,-7.8,49,2.8,2.5,8.11,1.5,24.6,1.48,21.6,6.3,-0.4,155,34.2,69.8,2.58,20.2,7.3,6.9,2018,71.8,0.714,1.96,3290,49.5,5.747499943,0.730976343,31,0.662445664,0.5744645,0.138375074,0.072942637,2.425928593,2020,1.142350554,12,5.9,17.9,54.6,40.9,68.1,45.4,59.1,31.9,20.9 [17-24.9],34.2 [28.4-39.6],7.7 [5.6-10.3],6.1,9.2,2.3,2.7,0.9,52.5,34.2,35.2,22.2,4,4.4 [3.5-5.5],6.8 [5.4-8.4],2.1 [1.6-2.6],10.1 [10.9-],13 [14.1-],4.8 [5.2-]
Bonaire,,,Americas,,,9613,45962.228,31,148.219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,,,Europe,Europe,BA,400527,12208.156,16202,493.841,federal democratic republic,Sarajevo,43 52 N,18 25 E,3,"$12,800 ",3,20.5,33.8,44,2.1,39.5,1.2,unknown,4.38,1.11,42.5,-0.17,8.7,10.1,-0.4,10,5.4,77.1,1.31,17.9,unknown,45.8,2018,76.9,0.777,6.53,5380,52.1,5.674099922,0.91839546,35,0.813928187,0.305365741,0.264005244,0.001172487,2.16724205,2020,1.203986526,27.4,15.5,39.2,52.1,37.9,66,47.9,62.1,34,22.7 [20.3-25.2],36.4 [33-39.8],8.6 [7.2-10.2],4.6,7.7,1.5,6.9,2.7,68.6,43,33.9,22.1,3,7.2 [5.3-8.2],11.8 [8.7-13.4],2.7 [2-3.1],12.5 [13.6-],16.4 [17.8-],5.7 [6.2-]
Botswana,,,Africa,Africa,BW,326593,13887.959,2782,118.301,parliamentary republic,Gaborone,24 38 S,25 54 E,2.4,"$17,000 ",-4.2,20,60.5,30.5,-1,14,3.3,5.5,6.88,2.78,24.9,1.52,21.7,9.5,3,144,28.6,63.8,2.53,18.9,9.6,36,2018,61.8,0.73,2.96,7170,61.9,3.478899956,0.997548997,60,0.494101733,0.50908941,0.033407487,0.101786368,0.257240534,2020,1.08569479,53,38,67.8,68,56,80,32,44,20,18 [16.5-19.5],29.5 [27.4-31.5],6.6 [5.7-7.6],5.7,9,2.1,10.6,2.1,67.8,41.5,34,22.6,4,6.6 [5.6-8.1],10.9 [9.3-13.4],2.5 [2.1-3.1],25.6 [27.8-],31.9 [34.6-],11.7 [12.7-]
Brazil,,,Americas,South America,BR,35188586,16554.706,689536,324.397,federal republic,Brasilia,15 47 S,47 55 W,1,"$15,600 ",0,12.8,49,35.7,-1.1,84,3.4,7,46.92,1.48,32.4,0.71,13.9,6.7,-0.1,60,16.9,74.3,1.75,22.1,6.2,28.5,2018,75.7,0.762,2.18,8580,70.6,6.375599861,0.952679873,38,0.766119063,0.483292729,0.131674588,0.106518604,2.571860313,2020,1.363464117,21.4,11.4,30.8,59.7,46,72.7,40.3,54,27.3,19.7 [16.4-23],32.6 [27.7-37.2],7.2 [5.4-9.4],6.9,10.9,1.7,8.7,2.2,69.5,42.6,36.7,23,4,7.4 [6.2-8.6],11.8 [9.8-13.8],3.3 [2.6-3.8],19.2 [20.5-],24.7 [26.3-],8.8 [9.4-]
British Virgin Islands,,,Americas,,,7305,24159.143,64,211.661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,Brunei,,Western Pacific,Asia,BN,257921,58956.201,143,32.687,constitutional sultanate,Bandar Seri Begawan,4 53 N,114 56 E,1.3,"$78,900 ",1.5,6.9,unknown,18.5,-17.3,2.8,-0.2,unknown,5.5,2.37,30.5,1.55,16.9,3.7,2.3,31,9.3,77.5,1.77,14.1,4.4,28.9,2018,74.2,0.836,18.5,29800,79.4,,,,,,,,,,,38.6,42.2,34.7,66.7,62.7,70.9,33.3,37.3,29.1,9.8 [8.1-11.7],13.9 [11.8-16],5.5 [4.1-7.1],2.2,2.9,1.4,3.4,0.8,21,24.4,17.4,12,1,0.5 [0.8-1.6],0.7 [1.1-2.3],0.2 [0.4-0.8],1.2 [1.3-],1.6 [1.9-],0.6 [0.7-]
